2024-10-15 16:22:59 [main] INFO  com.market.marketplace.Main - logger test 1
2024-10-15 16:22:59 [main] DEBUG org.jboss.logging - Logging Provider: org.jboss.logging.Slf4jLoggerProvider
2024-10-15 16:23:00 [main] DEBUG o.h.jpa.HibernatePersistenceProvider - Located and parsed 1 persistence units; checking each
2024-10-15 16:23:00 [main] DEBUG o.h.jpa.HibernatePersistenceProvider - Checking persistence-unit [name=marketPlace, explicit-provider=org.hibernate.jpa.HibernatePersistenceProvider] against incoming persistence unit name [marketPlace]
2024-10-15 16:23:00 [main] DEBUG o.h.jpa.boot.spi.ProviderChecker - Persistence-unit [marketPlace] requested PersistenceProvider [org.hibernate.jpa.HibernatePersistenceProvider]
2024-10-15 16:23:00 [main] DEBUG o.h.jpa.internal.util.LogHelper - PersistenceUnitInfo [
	name: marketPlace
	persistence provider classname: org.hibernate.jpa.HibernatePersistenceProvider
	classloader: null
	excludeUnlistedClasses: false
	JTA datasource: null
	Non JTA datasource: null
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/C:/Users/douae/IdeaProjects/marketPlace/target/classes/
	Shared Cache Mode: null
	Validation Mode: null
	Jar files URLs []
	Managed classes names [
		com.market.marketplace.entities.Product
		com.market.marketplace.entities.User]
	Mapping files names []
	Properties [
		javax.persistence.jdbc.driver: org.postgresql.Driver
		javax.persistence.jdbc.password: password
		javax.persistence.jdbc.url: jdbc:postgresql://localhost:5432/marketPlace
		hibernate.dialect: org.hibernate.dialect.PostgreSQL95Dialect
		hibernate.show_sql: true
		hibernate.hbm2ddl.auto: update
		javax.persistence.jdbc.user: postgres]
2024-10-15 16:23:00 [main] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@25df00a0
2024-10-15 16:23:00 [main] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@5884a914
2024-10-15 16:23:00 [main] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@1a4927d6
2024-10-15 16:23:00 [main] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@1a4927d6
2024-10-15 16:23:00 [main] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@4b520ea8
2024-10-15 16:23:00 [main] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@4b520ea8
2024-10-15 16:23:00 [main] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@782859e
2024-10-15 16:23:00 [main] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@782859e
2024-10-15 16:23:00 [main] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@6f43c82
2024-10-15 16:23:00 [main] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@6f43c82
2024-10-15 16:23:00 [main] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@6f15d60e
2024-10-15 16:23:00 [main] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@6f15d60e
